รหัสสินค้า,ชื่อสินค้า,ช่องทางที่ขาย,ตั้งชื่อไฟล์รูปเป็น
20063381,ขนมปังไก่หยองพริกเผาสาหร่าย,CJ Express,20063381.jpg
20060976,ขนมปังไก่หยองมายองเนสสาหร่าย,CJ Express,20060976.jpg
1114034,ขนมปังแซนวิชโลฟใหญ่สไลซ์1.2 ซม.,Black Canyon,1114034.jpg
1114035,ขนมปังแซนวิชโลฟใหญ่สไลซ์ 1.5 ซม.,Black Canyon,1114035.jpg
1124021,ขนมปังแถว,Online,1124021.jpg
1005985,ขนมปังเนยนิ่ม,Tops,1005985.jpg
1005982,ขนมปังเนยนิ่ม 3 ชิ้น,Aeon,1005982.jpg
1113086,ขนมปังเนยนิ่ม 3 ชิ้น,Big C,1113086.jpg
1004046,ขนมปังเนยนุ่ม,Amazon,1004046.jpg
1004051,ขนมปังสังขยา,Amazon / Online,1004051.jpg
1113093,ขนมปังสังขยา 4 ชิ้น,Aeon,1113093.jpg
1113089,ขนมปังสังขยา 6 ชิ้น,Big C,1113089.jpg
20039963,ขนมปังสังขยาใบเตยนมสด,CJ Express / The Mall,20039963.jpg
1004050,ขนมปังไส้กรอกมินิ,Amazon / Black Canyon,1004050.jpg
20059087,ขนมปังไส้กรอกแลบลิ้น,CJ Express,20059087.jpg
1004048,ขนมปังหิมะฮอกไกโด,Online,1004048.jpg
1113149,ขนมปุยฝ้ายไซส์ 1 ปอนด์,Big C,1113149.jpg
1113148,ขนมปุยฝ้ายไซส์เล็ก 4 ลูก,Big C,1113148.jpg
1004079,ขนมเปี๊ยะไส้ถั่วไข่เค็ม,Amazon,1004079.jpg
1114503,ครีมฮอร์นเนยสด ช็อกโกแลต,Online,1114503.jpg
1114502,ครีมฮอร์นเนยสด ใบเตย,Online,1114502.jpg
1114501,ครีมฮอร์นเนยสด วนิลา,Online,1114501.jpg
1004081,ครีมฮอร์น รสใบเตย,Amazon / Online,1004081.jpg
1004080,ครีมฮอร์น รสวนิลา,Amazon / Online,1004080.jpg
20036355,ครีมฮอร์นวนิลา,The Mall,20036355.jpg
1113088,ครีมฮอร์นวนิลา 3 ชิ้น,Big C / Aeon,1113088.jpg
3001200,ครีมฮอร์นวิปครีม ช็อกโกแลต,Online,3001200.jpg
1004071,คัพเค้กกล้วยหอมไส้ครีมเนยสด (4 ชิ้น),Amazon / Online,1004071.jpg
1006979,คัพเค้กไส้คัสตาร์ด,Amazon,1006979.jpg
1007015,เค้กกล้วยหอมคาราเมล,Amazon,1007015.jpg
11111125,เค้กช็อกโกแลตดูไบ,Black Canyon,11111125.jpg
1004063,เค้กช็อกโกแลตหน้านิ่ม,Aeon / The Mall / Amazon / Black Canyon / Online,1004063.jpg
1112015,เค้กเบาหวิว รสกล้วยหอมหน้ามะพร้าวเผา,Online,1112015.jpg
1112003,เค้กเบาหวิว รสกาแฟ,Online,1112003.jpg
1112004,เค้กเบาหวิว รสเนยนม,Online,1112004.jpg
1112005,เค้กเบาหวิว รสเนยนม,Online,1112005.jpg
1112013,เค้กเบาหวิว รสเผือกหน้ามะพร้าวเผา,Online,1112013.jpg
1112008,เค้กเบาหวิว รสมะพร้าวน้ำหอม,Online,1112008.jpg
1112009,เค้กเบาหวิว รสมะพร้าวน้ำหอม,Online,1112009.jpg
